Date,Description,Project,Client,Task,Tags,User,Start,End,Duration,Billable,Rate,Amount
2026-03-12,Sprint planning,Brand Redesign,Globex,Website,Bug Fix,Demo User,16:21,18:18,1:57,Yes,120.0,235.77
2026-03-12,Code review and fixes,Brand Redesign,Globex,Branding,"Planning, Bug Fix",Demo User,14:04,15:57,1:53,Yes,120.0,226.7
2026-03-12,Testing timer feature,Web Application,Acme Corp,,"",Demo User,12:39,12:39,0:00,Yes,150.0,0.33
2026-03-12,API integration work,Mobile App,Acme Corp,iOS,Bug Fix,Demo User,12:17,14:09,1:52,Yes,175.0,329.34
2026-03-12,Working on CI/CD features,Internal Tools,,CI/CD,"",Demo User,10:01,11:02,1:01,No,0.0,0.0
2026-03-12,Code review and fixes,Internal Tools,,Documentation,"Code Review, Planning",Demo User,08:27,09:48,1:21,No,0.0,0.0
2026-03-11,Working on Documentation features,Internal Tools,,Documentation,Code Review,Demo User,16:17,17:07,0:50,No,0.0,0.0
2026-03-11,API integration work,Web Application,Acme Corp,API,"Feature, Code Review",Demo User,14:05,15:27,1:22,Yes,150.0,205.29
2026-03-11,Documentation updates,Internal Tools,,Documentation,Planning,Demo User,12:04,12:36,0:32,No,0.0,0.0
2026-03-11,API integration work,Internal Tools,,CI/CD,"Meeting, Bug Fix",Demo User,10:18,11:49,1:31,No,0.0,0.0
2026-03-11,Team standup meeting,Brand Redesign,Globex,Website,"",Demo User,08:30,10:29,1:59,Yes,120.0,238.3
2026-03-10,Testing and debugging,Internal Tools,,Documentation,"Meeting, Feature",Demo User,16:03,17:39,1:36,No,0.0,0.0
2026-03-10,Sprint planning,Mobile App,Acme Corp,iOS,Code Review,Demo User,14:20,15:14,0:54,Yes,175.0,158.47
2026-03-10,API integration work,Brand Redesign,Globex,Branding,"",Demo User,12:06,13:22,1:16,Yes,120.0,153.63
2026-03-10,Sprint planning,Web Application,Acme Corp,API,"",Demo User,10:02,11:12,1:10,Yes,150.0,175.38
2026-03-10,Code review and fixes,Internal Tools,,Documentation,"Code Review, Meeting",Demo User,08:06,09:07,1:01,No,0.0,0.0
2026-03-09,Working on Database features,Web Application,Acme Corp,Database,"",Demo User,12:12,12:53,0:41,Yes,150.0,104.17
2026-03-09,Sprint planning,Brand Redesign,Globex,Website,"Code Review, Planning",Demo User,10:04,12:01,1:57,Yes,120.0,234.8
2026-03-09,Sprint planning,Web Application,Acme Corp,Backend,"Planning, Meeting",Demo User,08:05,08:57,0:52,Yes,150.0,130.75
2026-03-06,Testing and debugging,Brand Redesign,Globex,Branding,Planning,Demo User,14:20,15:12,0:52,Yes,120.0,105.13
2026-03-06,Documentation updates,Brand Redesign,Globex,Website,Code Review,Demo User,12:26,13:39,1:13,Yes,120.0,146.23
2026-03-06,Documentation updates,Brand Redesign,Globex,Website,"",Demo User,10:03,11:24,1:21,Yes,120.0,162.67
2026-03-06,Working on Backend features,Web Application,Acme Corp,Backend,Meeting,Demo User,08:29,09:09,0:40,Yes,150.0,101.13
2026-03-05,Design review,Web Application,Acme Corp,API,"Meeting, Bug Fix",Demo User,16:15,17:46,1:31,Yes,150.0,227.58
2026-03-05,Documentation updates,Brand Redesign,Globex,Website,"",Demo User,14:20,15:11,0:51,Yes,120.0,103.43
2026-03-05,Documentation updates,Web Application,Acme Corp,Backend,"",Demo User,12:23,13:08,0:45,Yes,150.0,112.71
2026-03-05,Team standup meeting,Web Application,Acme Corp,API,"Meeting, Planning",Demo User,10:09,11:48,1:39,Yes,150.0,249.54
2026-03-05,Team standup meeting,Web Application,Acme Corp,Backend,Code Review,Demo User,08:16,09:27,1:11,Yes,150.0,177.83
2026-03-04,Documentation updates,Mobile App,Acme Corp,iOS,"",Demo User,16:16,17:50,1:34,Yes,175.0,276.79
2026-03-04,Design review,Web Application,Acme Corp,API,Code Review,Demo User,14:07,16:06,1:59,Yes,150.0,297.71
2026-03-04,Sprint planning,Internal Tools,,CI/CD,"",Demo User,12:27,14:20,1:53,No,0.0,0.0
2026-03-04,Testing and debugging,Mobile App,Acme Corp,iOS,Code Review,Demo User,10:20,10:55,0:35,Yes,175.0,103.06
2026-03-04,Code review and fixes,Internal Tools,,Documentation,"",Demo User,08:04,08:36,0:32,No,0.0,0.0
2026-03-03,API integration work,Web Application,Acme Corp,Backend,"",Demo User,14:04,15:11,1:07,Yes,150.0,169.08
2026-03-03,Sprint planning,Internal Tools,,Documentation,"Meeting, Code Review",Demo User,12:06,13:09,1:03,No,0.0,0.0
2026-03-03,Documentation updates,Web Application,Acme Corp,Frontend,"",Demo User,10:16,11:07,0:51,Yes,150.0,127.71
2026-03-03,Team standup meeting,Internal Tools,,Documentation,Planning,Demo User,08:08,10:06,1:58,No,0.0,0.0
2026-03-02,Sprint planning,Internal Tools,,Documentation,"",Demo User,16:23,18:08,1:45,No,0.0,0.0
2026-03-02,Sprint planning,Brand Redesign,Globex,Website,"Feature, Planning",Demo User,14:01,15:02,1:01,Yes,120.0,122.2
2026-03-02,API integration work,Internal Tools,,Documentation,"Meeting, Planning",Demo User,12:14,13:23,1:09,No,0.0,0.0
2026-03-02,Testing and debugging,Web Application,Acme Corp,Frontend,"Planning, Meeting",Demo User,10:10,10:59,0:49,Yes,150.0,124.46
2026-03-02,Testing and debugging,Internal Tools,,Documentation,Bug Fix,Demo User,08:30,09:43,1:13,No,0.0,0.0
